"Time (s)","X (m/s2)","Y (m/s2)","Z (m/s2)"
2.410387500E0,5.688171387E-2,1.871109009E-1,2.136058044E-1
2.420348500E0,-1.047821045E-3,1.796264648E-1,3.772155762E-2
2.430310500E0,-6.915618896E-2,1.910028076E-1,-1.841171265E-1
2.440272500E0,-2.715353394E-1,4.405339050E-1,-1.370699615E0
2.450233500E0,-3.870950317E-1,9.114546204E-1,-3.209475861E0
2.460195500E0,-3.403921509E-1,8.044271851E-1,-2.124532013E0
2.470157500E0,-4.168830872E-1,4.553530884E-1,-3.367996216E-1
2.480118500E0,-3.297642517E-1,2.980302429E-1,3.065625000E-1
2.490080500E0,3.817062378E-2,2.276765442E-1,3.159928894E-1
2.500042500E0,3.692820740E-1,1.240919495E-1,9.280700684E-3
2.510003500E0,7.349716187E-1,6.721023560E-2,-6.891668701E-1
2.519965500E0,1.551822968E0,9.565109253E-2,-2.244732056E0
2.529927500E0,2.606978760E0,7.229965210E-2,-3.753145294E0
2.539889500E0,3.331771545E0,7.933502197E-3,-4.238286438E0
2.549850500E0,3.701652374E0,-1.752854919E-1,-4.120631104E0
2.559812500E0,3.423680420E0,-6.408174133E-1,-3.645219727E0
2.569774500E0,1.581012268E0,-1.301842804E0,-2.285148010E0
2.579735500E0,-5.803431702E-1,-1.452729034E0,2.253414001E0
2.589697500E0,-1.640887756E0,-1.632355499E0,5.028193817E0
2.599659500E0,-1.134191437E0,-2.423610077E0,3.239263916E0
2.609620500E0,-1.036145325E0,-3.163072357E0,1.223854980E0
2.619582500E0,-2.436932373E0,-6.941065979E0,-7.711962891E0
2.629544500E0,-2.598446503E0,-1.327753922E1,-1.228884521E1
2.639506500E0,7.179071045E-1,-1.835932159E1,-2.961142273E0
2.649467500E0,3.922293549E0,-2.097662888E1,-1.781295776E0
2.659429500E0,5.964197388E0,-2.016441788E1,-4.498595123E0
2.669391500E0,3.959715729E0,-1.943483505E1,-1.053868469E1
2.679352500E0,1.140628052E-1,-1.863699417E1,-1.391641068E1
2.689314500E0,4.165837097E-1,-1.700194427E1,-8.070617065E0
2.699276500E0,2.649340668E0,-1.520807465E1,-3.046165466E0
2.709237500E0,3.200793915E0,-1.462833023E1,-4.947810974E0
2.719199500E0,2.537223816E0,-1.311886917E1,-6.982829132E0
2.729161500E0,1.573827209E0,-1.040456360E1,-5.573809204E0
2.739122500E0,9.313632202E-1,-8.813821564E0,-4.676275635E0
2.749084500E0,1.432820435E0,-8.790769501E0,-4.434678040E0
2.759046500E0,2.019600220E0,-1.048120422E1,-8.264763336E0
2.769008500E0,1.372495880E0,-1.361508728E1,-1.316317703E1
2.778969500E0,2.198927307E-1,-1.657278671E1,-1.232671646E1
2.788931500E0,3.210823059E-1,-1.781520309E1,-8.987310791E0
2.798893500E0,1.304537201E0,-1.758228745E1,-8.206833801E0
2.808854500E0,2.129471741E0,-1.636172562E1,-7.841743011E0
2.818816500E0,1.476379852E0,-1.435050797E1,-6.500981140E0
2.828778500E0,8.125103760E-1,-1.281051041E1,-5.108576660E0
2.838739500E0,9.241781616E-1,-1.241039246E1,-4.556824036E0
2.848701500E0,1.258582764E0,-1.292756699E1,-5.421875153E0
2.858663500E0,2.279609528E0,-1.419632858E1,-5.872138824E0
2.868624500E0,3.597169647E0,-1.542811707E1,-6.196214905E0
2.878586500E0,4.775369568E0,-1.608749588E1,-7.843389587E0
2.888548500E0,4.967719574E0,-1.603435638E1,-7.390730896E0
2.898509500E0,4.520898743E0,-1.554217987E1,-6.235283661E0
2.908471500E0,3.936513977E0,-1.528172150E1,-5.905070343E0
