"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.184616375E0,8.735025525E-1,1.399551511E0,-4.025300145E-1
2.194578375E0,2.516530752E-1,1.096076727E0,-7.079339027E-2
2.204539375E0,-1.442937404E-1,1.025753856E0,1.416421682E-1
2.214501375E0,-1.776106358E-1,1.162054181E0,-5.323735531E-4
2.224463375E0,-1.539295726E-2,1.614180446E0,-1.607771814E-1
2.234425375E0,2.557959557E-1,2.081834316E0,-2.255097032E-1
2.244387375E0,6.098440289E-1,2.341744184E0,-2.143087089E-1
2.254348375E0,9.943065047E-1,2.304389238E0,-9.608464688E-2
2.264310375E0,9.276672602E-1,-1.008681431E-1,8.221786469E-3
2.274272375E0,1.339439273E0,-8.900796771E-1,3.816771135E-2
2.284234375E0,2.628344297E0,1.272049665E0,-1.212821715E-2
2.294196375E0,3.385460615E0,2.128004551E0,-4.333458096E-2
2.304157375E0,3.167510748E0,1.526414156E0,-1.312383264E-1
2.314119375E0,2.636104584E0,1.026858211E0,-2.535401881E-1
2.324081375E0,2.105292082E0,1.117879987E0,-4.964838326E-1
2.334043375E0,1.550942421E0,1.126536012E0,-8.928751945E-1
2.344005375E0,9.952706695E-1,1.149042964E0,-9.660876393E-1
2.353967375E0,8.101158142E-1,1.430547357E0,-7.327913642E-1
2.363928375E0,8.744074106E-1,1.489859939E0,-4.102402031E-1
2.373890375E0,8.278171420E-1,1.085792542E0,-1.315778792E-1
2.383852375E0,7.660019994E-1,8.281481862E-1,-2.897987328E-2
2.393814375E0,6.816192865E-1,6.255596280E-1,-1.001525670E-1
2.403776375E0,4.616518021E-1,3.198416904E-2,-1.768633276E-1
2.413737375E0,2.307244688E-1,-7.380784154E-1,-1.102411747E-1
2.423699375E0,4.476259276E-2,-1.098178506E0,7.261652499E-2
2.433661375E0,-2.019255161E-1,-1.494952798E0,3.561718464E-1
2.443623375E0,-6.002380252E-1,-2.221421003E0,6.606148481E-1
2.453585375E0,-8.967446089E-1,-2.608443499E0,9.114860296E-1
2.463547375E0,-1.007382751E0,-2.278373957E0,1.022147298E0
2.473508375E0,-1.150854945E0,-1.625911832E0,1.014360785E0
2.483470375E0,-1.388159394E0,-1.018315911E0,9.649307728E-1
2.493432375E0,-1.669014573E0,-5.323268175E-1,9.518083334E-1
2.503394375E0,-1.997494221E0,-1.019365191E-1,9.664468765E-1
2.513356375E0,-2.363595724E0,3.598074019E-1,9.507102966E-1
2.523318375E0,-2.810604572E0,3.279410899E-1,8.830556273E-1
2.533279375E0,-3.552061319E0,-1.244233966E0,8.484414220E-1
2.543241500E0,-3.905820131E0,-2.637530327E0,1.166930199E0
2.553203500E0,-2.748384714E0,-4.946110547E-1,1.643958926E0
2.563165500E0,-1.653178573E0,-8.079017997E-1,1.649499655E0
2.573127500E0,-1.146922469E0,-3.270203829E0,1.214589000E0
2.583088500E0,-9.751219153E-1,-4.241701126E0,7.874253392E-1
2.593050500E0,-7.704329491E-1,-3.742654562E0,4.574937522E-1
2.603012500E0,-4.707865417E-1,-3.050269842E0,6.886982918E-2
2.612974500E0,-3.921070993E-1,-2.514358521E0,-2.967237532E-1
2.622936500E0,-5.504429340E-1,-1.863824606E0,-5.541906953E-1
2.632898500E0,-8.118911386E-1,-1.009008646E0,-5.913890600E-1
2.642859500E0,-1.203536630E0,-1.107428074E-1,-3.861014247E-1
2.652821500E0,-1.706662297E0,6.192811728E-1,-1.218270510E-1
2.662783500E0,-2.256495476E0,1.019501567E0,5.476289615E-2
2.672745500E0,-2.720353603E0,1.212929130E0,1.926165447E-2
2.682707500E0,-3.021205425E0,1.313757181E0,-1.126575023E-1
2.692668500E0,-2.987843752E0,1.144041896E0,-2.500618994E-1
2.702630500E0,-2.464541197E0,8.278344274E-1,-3.108757138E-1
2.712592500E0,-1.642040491E0,7.791081667E-1,-3.161763549E-1
2.722554500E0,-6.754999757E-1,9.079294801E-1,-3.293017447E-1
2.732516500E0,3.366120458E-1,1.099660397E0,-3.456089795E-1
2.742477500E0,1.272931576E0,1.280711412E0,-3.407716155E-1
2.752439500E0,2.011625767E0,1.528025389E0,-4.082509279E-1
2.762401500E0,2.596490860E0,2.054086924E0,-5.627973676E-1
2.772363500E0,3.120348930E0,2.507934332E0,-7.906139493E-1
2.782325500E0,3.503319263E0,2.509136677E0,-9.587954879E-1
2.792287500E0,3.619707584E0,2.125704050E0,-9.401014447E-1
2.802248500E0,3.381067514E0,1.646835446E0,-7.989137173E-1
2.812210500E0,2.713283777E0,1.029230595E0,-5.155626535E-1
2.822172500E0,1.321511626E0,-6.490498781E-1,-1.373932809E-1
2.832134500E0,-1.090421200E0,-3.679351330E0,2.275348902E-1
